pathway	UCH_02_Basal	UCH_02_Cronico	UCH_02_PosI	UCH_03_Basal	UCH_03_Cronico	UCH_03_PosI	UCH_04_Basal	UCH_04_Cronico	UCH_04_PosI	UCH_05_Basal	UCH_05_Cronico	UCH_05_PosI	UCH_07_Basal	UCH_07_Cronico	UCH_07_PosI	UCH_08_Basal	UCH_08_Cronico	UCH_08_PosI	UCH_09_Basal	UCH_09_Cronico	UCH_09_PosI	UCH_10_Basal	UCH_10_Cronico	UCH_10_PosI	UCH_11_Basal	UCH_11_Cronico	UCH_11_PosI	UCH_12_Basal	UCH_12_Cronico	UCH_12_PosI	UCH_13_Basal	UCH_13_Cronico	UCH_13_PosI	UCH_15_Basal	UCH_15_Cronico	UCH_15_PosI	UCH_16_Basal	UCH_16_Cronico	UCH_16_PosI	UCH_17_Basal	UCH_17_Cronico	UCH_17_PosI	UCH_18_Basal	UCH_18_Cronico	UCH_18_PosI	UCH_19_Basal	UCH_19_Cronico	UCH_19_PosI	UCH_20_Basal	UCH_20_Cronico	UCH_20_PosI	UCH_21_Basal	UCH_21_Cronico	UCH_21_PosI
1CMET2-PWY	4353.6685	4342.2048	6107.3522	7577.8225	8361.5702	7948.9278	5580.5094	6258.138	8088.3303	8459.9777	6143.3349	7890.6959	6276.7472	6537.2264	7167.1889	4283.7763	5224.4354	4534.7915	7140.6913	5567.1986	7632.498	5477.175	6211.9988	2261.7316	5834.362	5401.0568	7071.9722	5924.932	6044.5714	4967.0834	6695.5677	6506.3148	6405.0647	3205.9751	2501.1973	2744.7256	3230.4363	2848.5434	3585.2564	5389.8296	5792.9067	5182.23	5071.1088	5448.7299	5045.1249	7794.2165	2186.2461	5321.2415	3031.6904	4401.9676	4349.0087	3499.1105	5825.296	5579.3068
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	0	0	0	0	0.3099	0.6195	1.5177	0	0	0.2973	0	0	9.3658	0.3108	0.6196	30.4904	1.8521	19.9162	5.1733	0	0	0	4.2219	13.1218	0	0	2.2262	0	0	0.3092	0	0.6205	3.062	0	0	0.5978	0	0	0.6146	0	0	0	5.4401	3.3508	1.5407	0	0	0.8996	0	0	0.3074	0	0.3101	1.5144
AEROBACTINSYN-PWY	0	0	1.14	1.14	0.29	0.29	3.29	0	0.29	0.29	1	0	0.29	0.43	9.29	501.71	7	14.43	0	1.29	0	0	74.86	35.71	0.14	5	0	2.43	0.71	2.29	0.43	0.71	1.29	0.57	0.29	1.14	0.29	0.29	0.14	0.43	0.29	0.71	0.29	0.43	0	0.29	0.14	1.57	0.29	0.29	0.14	5.14	14.14	43.71
ALL-CHORISMATE-PWY	0	0	10.5618	9.0272	4.7409	6.7889	24.1809	0	1.9822	3.2225	6.9916	0	43.838	4.5407	65.0665	1036.0827	66.5211	156.0969	22.358	7.1632	0	0	341.4685	182.2941	1.4013	35.2794	14.1529	13.3703	4.3869	13.7867	3.1695	7.9725	22.6287	5.1991	2.7317	10.3074	2.8674	2.7275	4.5925	4.1052	2.7427	5.6014	26.1877	19.4308	9.4146	2.7552	0.6587	16.5601	2.0023	2.7279	3.1871	24.3218	66.8485	163.34
ANAEROFRUCAT-PWY	3394.0319	1930.377	4790.5329	3797.9036	1834.392	2340.8535	5649.0919	4955.5138	6150.3051	5756.0298	5611.5607	7331.5947	5988.9664	6583.6366	6740.25	3750.632	4011.9657	4366.7017	6669.7077	4133.942	6949.515	5652.5141	5840.4232	1951.6018	5303.4719	5561.0323	6668.9222	3744.0611	5456.7232	4456.2269	6600.6219	6108.1989	6321.7075	1469.7896	1637.8688	1765.2599	1582.2396	1596.8247	2624.9178	4917.5627	5165.2364	4710.9787	4854.3749	3722.1341	3005.2969	7407.2758	1883.3042	4691.7296	1587.3661	4055.1804	3054.1938	742.0888	1204.1327	1564.2037
ANAGLYCOLYSIS-PWY	5538.4765	5531.9196	7678.5538	9760.906	10734.5219	10062.6323	6742.4804	7408.8592	10053.395	9378.3948	7410.3868	8968.9048	7950.0627	7884.0986	8604.3978	5579.6714	6617.7314	5719.559	8321.6991	6456.9771	8488.9022	6910.987	7642.2008	2497.4865	7094.3267	6712.8727	8129.6247	7663.0331	7605.7918	6539.2903	8223.3372	7412.3131	7529.7871	4512.1555	3375.3701	6726.942	4236.7839	3587.9315	4571.0218	7129.7951	7510.4603	7127.7013	6975.14	7593.9998	7251.5029	9163.7356	2645.1537	6074.7993	3826.9918	5885.7764	6156.2912	4627.0403	7782.2309	7794.9038
ARG+POLYAMINE-SYN	95.3326	111.82	60.4084	986.5113	439.3545	566.3233	127.6631	29.1147	337.4208	22.4433	108.7497	1106.5589	1562.865	1851.0381	1376.6352	2018.6704	539.6909	782.4653	63.4862	15.2953	23.7621	120.6044	1496.7477	429.5915	199.6759	115.6722	334.762	552.7293	717.71	548.3479	1248.6684	790.2703	1433.4786	489.2658	657.1942	398.3164	1380.371	879.4335	1389.7023	996.6576	612.6456	1445.9659	1527.1724	1249.6422	1305.8028	19.6462	1.6756	33.8412	31.0085	37.2369	245.1099	119.4405	211.7013	452.4061
ARGDEG-PWY	0	0	0	0	0.5788	0.9922	3.4255	0	0	0.5367	0	0	13.7155	0.6578	1.7797	91.8969	4.6892	33.825	7.3658	0	0	0	12.3765	32.5308	0	0	3.154	0	0	0.8462	0	1.2387	4.873	0	0	1.3722	0	0	0.966	0	0	0	8.3155	5.1779	2.3149	0	0	1.9129	0	0	0.4987	0	0.9122	4.4901
ARGORNPROST-PWY	296.3179	145.0081	712.5849	463.3083	260.7452	492.8518	152.8995	45.0224	253.9882	21.4725	60.5049	28.0597	515.7173	446.4249	260.5612	1307.6116	1129.6362	1062.4722	140.8958	18.2172	273.2037	306.9596	382.7315	89.5885	168.4141	360.1774	271.8459	276.8337	586.2063	350.7247	1080.6834	547.6721	672.2198	288.6995	309.0117	188.9626	203.5394	250.1437	247.0813	390.068	451.2945	460.6579	836.4017	664.4108	644.7194	526.7852	27.1544	188.1746	136.0945	352.2973	351.22	149.0637	179.3536	162.1468
ARGSYN-PWY	4201.755	3807.336	6233.7902	7334.0746	8286.7903	7814.1006	4077.3119	3301.9154	7362.2977	2802.7032	5307.6819	4870.1842	5162.3826	4406.7703	5504.5119	4414.3436	5610.3646	4180.9692	4298.0033	2876.84	4967.547	3812.7015	4932.8314	1088.1714	4373.625	3583.327	3942.9423	5656.6567	5073.0277	4654.3394	5685.5874	4205.2777	4751.6812	3030.7586	2284.8518	5572.1401	2480.4215	2041.8449	2791.7682	4432.3901	4970.5582	4600.9164	4598.3056	5297.4017	4800.6772	5979.5994	1120.0998	3050.5675	2287.1757	3919.1541	4030.7563	3434.0228	5688.0631	5236.6392
